八大精彩,vid=4gtv#id=1
民视第一,vid=4gtv#id=2
民视台湾,vid=4gtv#id=3
民视,vid=4gtv#id=4
TVBS,vid=4gtv#id=5
非凡新闻,vid=4gtv#id=8
中视新闻,vid=4gtv#id=9
华视新闻,vid=4gtv#id=10
FTV综艺,vid=4gtv#id=11
健康NO.1,vid=4gtv#id=12
猪哥亮歌厅秀,vid=4gtv#id=14
华视新闻,vid=4gtv#id=15
公视戏剧,vid=4gtv#id=16
NickJr,vid=4gtv#id=17
靖洋卡通,vid=4gtv#id=18
靖天综合,vid=4gtv#id=19
靖天日本,vid=4gtv#id=20
靖天卡通,vid=4gtv#id=21
靖天戏剧,vid=4gtv#id=22
靖天电影,vid=4gtv#id=23
靖天育乐,vid=4gtv#id=24
靖天国际,vid=4gtv#id=25
靖天映画,vid=4gtv#id=26
采昌频道,vid=4gtv#id=27
影迷电影,vid=4gtv#id=28
CNEX,vid=4gtv#id=29
aMC最爱电影,vid=4gtv#id=30
靖天资讯,vid=4gtv#id=31
靖天欢乐,vid=4gtv#id=32
StingRay Classical,vid=4gtv#id=34
韩国娱乐,vid=4gtv#id=35
Travel,vid=4gtv#id=36
Outdoor,vid=4gtv#id=37
台视财经,vid=4gtv#id=38
Trace Sport Stars,vid=4gtv#id=39
