民視HD,vid=hatv#id=5
CNN國際新聞,vid=hatv#id=6
台視HD,vid=hatv#id=7
人間衛視,vid=hatv#id=8
中視HD,vid=hatv#id=9
大愛電視HD,vid=hatv#id=10
華視HD,vid=hatv#id=11
動物星球,vid=hatv#id=12
公視HD,vid=hatv#id=13
好消息,vid=hatv#id=15
原住民電視台,vid=hatv#id=16
客家電視台,vid=hatv#id=17
國家地理頻道,vid=hatv#id=18
探索頻道,vid=hatv#id=19
中台灣生活網,vid=hatv#id=20
TLC 旅遊生活,vid=hatv#id=21
CN卡通,vid=hatv#id=22
迪士尼頻道,vid=hatv#id=23
MOMO親子,vid=hatv#id=24
東森幼幼台,vid=hatv#id=25
緯來綜合台,vid=hatv#id=26
八大第1台,vid=hatv#id=27
八大綜合台,vid=hatv#id=28
三立台灣台,vid=hatv#id=29
三立都會台,vid=hatv#id=30
衛視中文台,vid=hatv#id=31
東森綜合台,vid=hatv#id=32
東森超視,vid=hatv#id=33
東森購物2台,vid=hatv#id=34
MOMO2台,vid=hatv#id=35
中天綜合,vid=hatv#id=36
東風37台,vid=hatv#id=37
年代MUCH-HD,vid=hatv#id=38
東森戲劇台,vid=hatv#id=40
八大戲劇台,vid=hatv#id=41
TVBS歡樂台HD,vid=hatv#id=42
緯來戲劇台,vid=hatv#id=43
高點綜合台,vid=hatv#id=44
JET綜合台,vid=hatv#id=45
MOMO1台,vid=hatv#id=48
壹新聞,vid=hatv#id=49
年代新聞台,vid=hatv#id=50
東森新聞台,vid=hatv#id=51
中天新聞台,vid=hatv#id=52
民視新聞台,vid=hatv#id=53
三立新聞台,vid=hatv#id=54
TVBS新聞台,vid=hatv#id=55
TVBS,vid=hatv#id=56
東森財經新聞台,vid=hatv#id=57
非凡新聞台HD,vid=hatv#id=58
VIVA1台,vid=hatv#id=59
衛視電影台,vid=hatv#id=61
東森電影台,vid=hatv#id=62
緯來電影台,vid=hatv#id=63
冠軍台,vid=hatv#id=64
HBO,vid=hatv#id=65
東森洋片台,vid=hatv#id=66
中天娛樂台,vid=hatv#id=67
好萊塢電影,vid=hatv#id=68
衛視西片台,vid=hatv#id=69
四季台HD,vid=hatv#id=70
CINEMAX電影,vid=hatv#id=71
緯來體育台,vid=hatv#id=72
FOX體育台,vid=hatv#id=73
FOX體育2台,vid=hatv#id=74
緯來日本台,vid=hatv#id=75
國興衛視,vid=hatv#id=76
海豚綜合台,vid=hatv#id=77
民俗才藝,vid=hatv#id=78
纬来日本HD,vid=hatv#id=79
MOMO综合,vid=hatv#id=80
VIVA2台,vid=hatv#id=81
信吉衛星,vid=hatv#id=82
桐瑛電視,vid=hatv#id=83
AXN,vid=hatv#id=84
Z頻道,vid=hatv#id=85
信大電視,vid=hatv#id=86
緯來育樂台,vid=hatv#id=87
三立財經台,vid=hatv#id=88
凱亞綜合台,vid=hatv#id=89
台灣藝術台,vid=hatv#id=90
台灣綜合台,vid=hatv#id=91
天良綜合台,vid=hatv#id=92
龍祥時代,vid=hatv#id=93
誠心電視,vid=hatv#id=94
非凡商業,vid=hatv#id=95
霹靂台灣,vid=hatv#id=96
運通財經,vid=hatv#id=97
NHK,vid=hatv#id=98
新增頻道,vid=hatv#id=99
MTV,vid=hatv#id=100
FOX,vid=hatv#id=101
華視新聞資訊,vid=hatv#id=108
番薯電視台HD,vid=hatv#id=110
國家地理HD,vid=hatv#id=113
國家地理野生HD,vid=hatv#id=114
FOX家庭電影,vid=hatv#id=115
FOX HD,vid=hatv#id=116
TVN,vid=hatv#id=117
公視3台HD,vid=hatv#id=118
台灣交通台,vid=hatv#id=120
台視新聞,vid=hatv#id=121
華視綜合娛樂,vid=hatv#id=123
探索世界HD,vid=hatv#id=129
探索科學,vid=hatv#id=130
探索DMAX,vid=hatv#id=131
探索eve,vid=hatv#id=132
BBC Earth HD,vid=hatv#id=133
BBC Entertainment Channel,vid=hatv#id=134
BBC life style,vid=hatv#id=135
居家生活電視台,vid=hatv#id=136
Warner TV,vid=hatv#id=137
大愛2台HD,vid=hatv#id=201
DMAX,vid=hatv#id=202
亞洲新聞台,vid=hatv#id=205
BBC World News,vid=hatv#id=207
國家地理音樂,vid=hatv#id=210
台股資訊頻道,vid=hatv#id=222
HBO HD,vid=hatv#id=220
HBO 原創鉅獻,vid=hatv#id=221
HBO 溫馨家庭,vid=hatv#id=222
HBO 強檔鉅獻,vid=hatv#id=223
玩家頻道,vid=hatv#id=401
Happy 頻道,vid=hatv#id=402
HOT 頻道,vid=hatv#id=403
松視4台,vid=hatv#id=404
松視1台,vid=hatv#id=405
松視2台,vid=hatv#id=406
松視3台,vid=hatv#id=407
彩虹r台,vid=hatv#id=408
樂活頻道,vid=hatv#id=410
潘多拉完美台,vid=hatv#id=411
潘多拉粉紅台,vid=hatv#id=412
驚艷台,vid=hatv#id=413
香蕉台,vid=hatv#id=414
