# 央视 #
CCTV-1高清,vid=migu#id=608807420
CCTV-2高清,vid=migu#id=672926537
CCTV-3高清,vid=migu#id=624878270
CCTV-4高清,vid=migu#id=672924435
CCTV-5高清,vid=migu#id=641886681
CCTV-5Plus高清,vid=migu#id=641886771
CCTV-6高清,vid=migu#id=624878393
CCTV-7高清,vid=migu#id=673168121
CCTV-8高清,vid=migu#id=624878355
CCTV-9高清,vid=migu#id=673168140
CCTV-10高清,vid=migu#id=624878405
CCTV-11高清,vid=migu#id=672923822
CCTV-12高清,vid=migu#id=673168185
CCTV-13,vid=migu#id=672922360
CCTV-14高清,vid=migu#id=624878440
CCTV-15高清,vid=migu#id=673168223
CCTV-17高清,vid=migu#id=673168256
中国教育1台高清,vid=migu#id=649531734
中国教育2台,vid=migu#id=649532169
中国教育3台,vid=migu#id=649531756
中国教育4台,vid=migu#id=649531725
# 卫视 #
北京卫视高清,vid=migu#id=630287636
辽宁卫视高清,vid=migu#id=630291707
安徽卫视高清,vid=migu#id=644933992
湖北卫视高清,vid=migu#id=630292423
湖南卫视高清,vid=migu#id=619858170
广东卫视高清,vid=migu#id=608831231
东方卫视,vid=migu#id=651625930
重庆卫视,vid=migu#id=630288006
吉林卫视,vid=migu#id=630288397
内蒙古卫视,vid=migu#id=630287015
宁夏卫视,vid=migu#id=630287436
甘肃卫视,vid=migu#id=630287549
青海卫视,vid=migu#id=630287272
陕西卫视,vid=migu#id=630287233
河北卫视,vid=migu#id=630292528
山西卫视,vid=migu#id=630289043
河南卫视,vid=migu#id=635489820
江西卫视,vid=migu#id=630290852
江苏卫视,vid=migu#id=623899540
东南卫视,vid=migu#id=651642156
南方卫视,vid=migu#id=608917627
广西卫视,vid=migu#id=634055160
云南卫视,vid=migu#id=630291417
贵州卫视,vid=migu#id=631094827
四川卫视,vid=migu#id=630288361
新疆卫视,vid=migu#id=635385783
兵团卫视,vid=migu#id=630288004
西藏卫视,vid=migu#id=630291593
旅游卫视,vid=migu#id=633215355
# 地方 #
扬州新闻综合,vid=migu#id=639731888
江苏综艺,vid=migu#id=626065193
江苏城市,vid=migu#id=626064714
江苏影视,vid=migu#id=626064697
# 数字 #
CIBN电影综合,vid=migu#id=624303430 
CIBN院线大片,vid=migu#id=661432899 
CIBN综合,vid=migu#id=661430547 
CIBN文旅中国,vid=migu#id=661509016 
CIBN真人秀,vid=migu#id=661433786 
CIBN真人秀,vid=migu#id=621780947 
CIBN艺术院线,vid=migu#id=661491745 
CIBN纪录片,vid=migu#id=661509046 
CIBN纪录片,vid=migu#id=661509046 
CIBN炫佳动漫,vid=migu#id=661491728 
CIBN童学世界,vid=migu#id=661491692 
CIBN流金岁月,vid=migu#id=668156255 
CIBN风尚运动,vid=migu#id=664376528 
CIBN经典剧场,vid=migu#id=668156438 
CIBN斗牛财经,vid=migu#id=664376522 
CIBN微电影,vid=migu#id=661434182 
CIBN骄阳剧场,vid=migu#id=630520189
# 轮播 #
成龙作品集,vid=migu#id=639528181
周星驰影院,vid=migu#id=623338112
吴京作品集,vid=migu#id=625681368
刘德华影院,vid=migu#id=659315648
纪晓岚频道,vid=migu#id=625774662
古天乐影院,vid=migu#id=627198610
刘亦菲影视,vid=migu#id=639528386
高圆圆影视,vid=migu#id=617432495
古力娜扎影视,vid=migu#id=625133682
葛优作品集,vid=migu#id=659315456
金庸频道,vid=migu#id=625774640
刘涛作品集,vid=migu#id=625514969
黄金剧场,vid=migu#id=625155140
军旅剧场,vid=migu#id=625643517
抗战老片,vid=migu#id=625542372
少林剧场,vid=migu#id=625526423
喜剧联盟,vid=migu#id=637444830
情感剧场,vid=migu#id=625574378
热剧联播,vid=migu#id=629943613
高清大片,vid=migu#id=629943678
僵尸剧场,vid=migu#id=627033504
深夜尤物剧场,vid=migu#id=625759558
红色谍战剧场,vid=migu#id=634274665
激情夜场影院,vid=migu#id=625188208
每日科幻电影,vid=migu#id=625204865
追剧少女,vid=migu#id=617432318
怀旧老片,vid=migu#id=621640582
武侠剧场,vid=migu#id=627198822
精品网剧,vid=migu#id=627198751
假期剧场,vid=migu#id=627198692
国际剧场,vid=migu#id=625542365
经典频道,vid=migu#id=625542369
精品剧场,vid=migu#id=615810094
高分影院,vid=migu#id=627198191
新片放映厅,vid=migu#id=619495952
华视火爆劲片,vid=migu#id=624999147
还珠格格,vid=migu#id=659315368
仙剑奇侠传,vid=migu#id=659315266
神探狄仁杰,vid=migu#id=625574493
四大名著剧场,vid=migu#id=625498432
射雕英雄传,vid=migu#id=625681367
包青天,vid=migu#id=625521420
天龙八部集,vid=migu#id=625703337
