凤凰中文,vid=mltv#tid=1#id=1
凤凰资讯,vid=mltv#tid=1#id=2
凤凰香港,vid=mltv#tid=1#id=3
TVB 翡翠台,vid=mltv#tid=1#id=9
TVB J2,vid=mltv#tid=1#id=10
TVB 无线财经,vid=mltv#tid=1#id=11
TVB 明珠台,vid=mltv#tid=1#id=12
TVB 无线新闻,vid=mltv#tid=1#id=13
TVB J1,vid=mltv#tid=1#id=14
TVB USA,vid=mltv#tid=1#id=15
TVB DRAMA,vid=mltv#tid=1#id=16
TVB 经典,vid=mltv#tid=1#id=17
TVB娱乐新闻,vid=mltv#tid=1#id=18
TVB 星河,vid=mltv#tid=1#id=19
ViuTV,vid=mltv#tid=1#id=20
ViuTV6,vid=mltv#tid=1#id=21
HK18台,vid=mltv#tid=1#id=25
Now 新闻臺,vid=mltv#tid=1#id=26
Now 直播台,vid=mltv#tid=1#id=27
Now SportsPrime,vid=mltv#tid=1#id=28
C+,vid=mltv#tid=1#id=31
新时代2HD,vid=mltv#tid=1#id=33
新时代,vid=mltv#tid=1#id=34
城市电视,vid=mltv#tid=1#id=35
耀才财经台,vid=mltv#tid=1#id=37
台视,vid=mltv#tid=1#id=39
中视,vid=mltv#tid=1#id=40
公视,vid=mltv#tid=1#id=41
华视,vid=mltv#tid=1#id=42
民视新闻,vid=mltv#tid=1#id=44
三立台湾,vid=mltv#tid=1#id=46
卫视电影,vid=mltv#tid=1#id=50
中视新闻,vid=mltv#tid=1#id=55
美亚电影,vid=mltv#tid=1#id=56
HBO HD,vid=mltv#tid=1#id=60
靖天卡通,vid=mltv#tid=1#id=67
靖天映画,vid=mltv#tid=1#id=70
龙华偶像,vid=mltv#tid=1#id=75
龙华戏剧,vid=mltv#tid=1#id=76
龙华洋片,vid=mltv#tid=1#id=77
龙华电影,vid=mltv#tid=1#id=78
龙翔时代,vid=mltv#tid=1#id=79
东森财经新闻,vid=mltv#tid=1#id=80
东森新闻,vid=mltv#tid=1#id=81
东森电影,vid=mltv#tid=1#id=82
东森戏剧,vid=mltv#tid=1#id=83
东森洋片,vid=mltv#tid=1#id=84
东森呦呦,vid=mltv#tid=1#id=85
东森综合,vid=mltv#tid=1#id=86
国家地理HD,vid=mltv#tid=1#id=94
国家地理p,vid=mltv#tid=1#id=95
国家地理野生,vid=mltv#tid=1#id=96
中天新闻,vid=mltv#tid=1#id=101
中天亚洲,vid=mltv#tid=1#id=102
中天娱乐,vid=mltv#tid=1#id=103
中天综合,vid=mltv#tid=1#id=104
八大第一,vid=mltv#tid=1#id=105
八大戏剧,vid=mltv#tid=1#id=106
八大娱乐,vid=mltv#tid=1#id=107
八大综合,vid=mltv#tid=1#id=108
TVBS HD ,vid=mltv#tid=1#id=109
TVBS 新闻,vid=mltv#tid=1#id=111
非凡新闻,vid=mltv#tid=1#id=112
Astro_翡翠,vid=mltv#tid=1#id=114
Astro_AOD,vid=mltv#tid=1#id=115
Astro_AEC,vid=mltv#tid=1#id=116
Astro_愛奇藝,vid=mltv#tid=1#id=117
Astro_全佳臺,vid=mltv#tid=1#id=118
Astro_歡喜臺,vid=mltv#tid=1#id=119
Astro_小太陽,vid=mltv#tid=1#id=120
8度空间,vid=mltv#tid=1#id=121
Astro_双星,vid=mltv#tid=1#id=122
天映频道HD,vid=mltv#tid=1#id=123
Oh!K,vid=mltv#tid=1#id=125
One_Cn,vid=mltv#tid=1#id=126
KBS World,vid=mltv#tid=1#id=127
KBS World,vid=mltv#tid=1#id=139
亚洲旅游,vid=mltv#tid=1#id=128
Z频道,vid=mltv#tid=1#id=129
大爱,vid=mltv#tid=1#id=130
国兴卫视,vid=mltv#tid=1#id=132
好消息2,vid=mltv#tid=1#id=133
SCI 科学HD,vid=mltv#tid=1#id=135
探索台湾,vid=mltv#tid=1#id=136
探索动力,vid=mltv#tid=1#id=137
探索高清,vid=mltv#tid=1#id=138
CBS,vid=mltv#tid=1#id=140
SBS Plus,vid=mltv#tid=1#id=141
SBS Star,vid=mltv#tid=1#id=142
EBS 2,vid=mltv#tid=1#id=143
EBS Kids,vid=mltv#tid=1#id=144
EBS+1,vid=mltv#tid=1#id=145
EBS+2,vid=mltv#tid=1#id=146
YTN KOREAN,vid=mltv#tid=1#id=147
Arirang HD,vid=mltv#tid=1#id=148
CGNTV,vid=mltv#tid=1#id=149
