# 央视 #
CCTV-1,vid=nnzb#tid=1#id=169
CCTV-2,vid=nnzb#tid=1#id=168
CCTV-3,vid=nnzb#tid=1#id=167
CCTV-4,vid=nnzb#tid=1#id=166
CCTV-5,vid=nnzb#tid=1#id=165
CCTV-6,vid=nnzb#tid=1#id=164
CCTV-7,vid=nnzb#tid=1#id=163
CCTV-8,vid=nnzb#tid=1#id=162
CCTV-9,vid=nnzb#tid=1#id=161
CCTV-10,vid=nnzb#tid=1#id=160
CCTV-11,vid=nnzb#tid=1#id=159
CCTV-12,vid=nnzb#tid=1#id=158
CCTV-13,vid=nnzb#tid=1#id=157
CCTV-14,vid=nnzb#tid=1#id=156
CCTV-15,vid=nnzb#tid=1#id=155
CCTV-5Plus,vid=nnzb#tid=1#id=154
# 卫视 #
深圳卫视,vid=nnzb#tid=2#id=620
北京卫视,vid=nnzb#tid=2#id=200
东方卫视,vid=nnzb#tid=2#id=199
天津卫视,vid=nnzb#tid=2#id=198
重庆卫视,vid=nnzb#tid=2#id=197
安徽卫视,vid=nnzb#tid=2#id=196
浙江卫视,vid=nnzb#tid=2#id=195
江苏卫视,vid=nnzb#tid=2#id=194
湖南卫视,vid=nnzb#tid=2#id=193
湖北卫视,vid=nnzb#tid=2#id=192
河南卫视,vid=nnzb#tid=2#id=191
河北卫视,vid=nnzb#tid=2#id=190
广东卫视,vid=nnzb#tid=2#id=189
广西卫视,vid=nnzb#tid=2#id=188
山东卫视,vid=nnzb#tid=2#id=187
山西卫视,vid=nnzb#tid=2#id=186
四川卫视,vid=nnzb#tid=2#id=185
江西卫视,vid=nnzb#tid=2#id=184
东南卫视,vid=nnzb#tid=2#id=183
吉林卫视,vid=nnzb#tid=2#id=182
辽宁卫视,vid=nnzb#tid=2#id=181
云南卫视,vid=nnzb#tid=2#id=180
海南卫视,vid=nnzb#tid=2#id=179
陕西卫视,vid=nnzb#tid=2#id=178
甘肃卫视,vid=nnzb#tid=2#id=177
宁夏卫视,vid=nnzb#tid=2#id=176
青海卫视,vid=nnzb#tid=2#id=175
贵州卫视,vid=nnzb#tid=2#id=174
新疆卫视,vid=nnzb#tid=2#id=173
西藏卫视,vid=nnzb#tid=2#id=172
内蒙古卫视,vid=nnzb#tid=2#id=171
黑龙江卫视,vid=nnzb#tid=2#id=170
# 地方 #
湖南都市频道,vid=nnzb#tid=4#id=720
安徽经济生活,vid=nnzb#tid=4#id=682
安徽影视,vid=nnzb#tid=4#id=681
西安新闻综合频道,vid=nnzb#tid=4#id=529
西安白鹤都市频道,vid=nnzb#tid=4#id=528
西安文化影视频道,vid=nnzb#tid=4#id=527
西安音乐综艺频道,vid=nnzb#tid=4#id=526
西安商务资讯频道,vid=nnzb#tid=4#id=525
西安健康快乐频道,vid=nnzb#tid=4#id=524
河北卫视,vid=nnzb#tid=4#id=429#line=2
河北经济频道,vid=nnzb#tid=4#id=428
河北都市频道,vid=nnzb#tid=4#id=427
河北影视频道,vid=nnzb#tid=4#id=426
河北少儿科教频道,vid=nnzb#tid=4#id=425
河北公共频道,vid=nnzb#tid=4#id=424
河北农民频道,vid=nnzb#tid=4#id=423
石家庄新闻综合频道,vid=nnzb#tid=4#id=422
石家庄娱乐频道,vid=nnzb#tid=4#id=421
石家庄生活频道,vid=nnzb#tid=4#id=420
石家庄都市频道,vid=nnzb#tid=4#id=419
河南卫视,vid=nnzb#tid=4#id=356
湖南经视频道,vid=nnzb#tid=4#id=355
湖南娱乐频道,vid=nnzb#tid=4#id=354
湖南电视剧频道,vid=nnzb#tid=4#id=353
湖南公共频道,vid=nnzb#tid=4#id=352
湖南国际频道,vid=nnzb#tid=4#id=351
金鹰纪实频道,vid=nnzb#tid=4#id=350
金鹰卡通卫视,vid=nnzb#tid=4#id=349
长沙新闻综合频道,vid=nnzb#tid=4#id=348
东方电影频道,vid=nnzb#tid=4#id=228
# 港台 #
凤凰中文,vid=nnzb#tid=3#id=100
凤凰资讯,vid=nnzb#tid=3#id=99
凤凰香港,vid=nnzb#tid=3#id=98
凤凰电影,vid=nnzb#tid=3#id=97
凤凰美洲,vid=nnzb#tid=3#id=96
Channel V,vid=nnzb#tid=3#id=95
香港卫视,vid=nnzb#tid=3#id=93
星空卫视,vid=nnzb#tid=3#id=92
阳光卫视,vid=nnzb#tid=3#id=90
澳亚卫视,vid=nnzb#tid=3#id=89
莲花卫视,vid=nnzb#tid=3#id=88
寰宇新闻台,vid=nnzb#tid=3#id=85
寰宇新闻2台,vid=nnzb#tid=3#id=84
无线财经台,vid=nnzb#tid=3#id=79
TVB翡翠台,vid=nnzb#tid=3#id=78
TVB明珠台,vid=nnzb#tid=3#id=77#line=2
TVB星河台,vid=nnzb#tid=3#id=76
TVBJ2,vid=nnzb#tid=3#id=74
无线新闻台,vid=nnzb#tid=3#id=73
TVB功夫台,vid=nnzb#tid=3#id=72
有线新闻台,vid=nnzb#tid=3#id=62
有线电影台,vid=nnzb#tid=3#id=61
有线18台,vid=nnzb#tid=3#id=59
有线好莱坞电影,vid=nnzb#tid=3#id=54
澳视体育台,vid=nnzb#tid=3#id=50
澳视卫星台MACAU,vid=nnzb#tid=3#id=48
台湾中视,vid=nnzb#tid=3#id=47
台湾华视,vid=nnzb#tid=3#id=46
台湾台视,vid=nnzb#tid=3#id=45
台湾民视,vid=nnzb#tid=3#id=44
台湾公视,vid=nnzb#tid=3#id=43
中天新闻台,vid=nnzb#tid=3#id=42
中天综合台,vid=nnzb#tid=3#id=41
中天娱乐台,vid=nnzb#tid=3#id=40
中天亚洲台,vid=nnzb#tid=3#id=39
TVBS新闻台,vid=nnzb#tid=3#id=38
TVBS综合台,vid=nnzb#tid=3#id=37
TVBS欢乐台,vid=nnzb#tid=3#id=36
壹电视综合台,vid=nnzb#tid=3#id=35
壹电视新闻台,vid=nnzb#tid=3#id=34
东森综合台,vid=nnzb#tid=3#id=32
东森幼幼台,vid=nnzb#tid=3#id=31
东森电影台,vid=nnzb#tid=3#id=29
东森洋片台,vid=nnzb#tid=3#id=28
三立新闻台,vid=nnzb#tid=3#id=26
三立都会台,vid=nnzb#tid=3#id=25
三立台湾台,vid=nnzb#tid=3#id=24
八大综合台,vid=nnzb#tid=3#id=22
八大第一台,vid=nnzb#tid=3#id=21
八大娱乐K台,vid=nnzb#tid=3#id=20
卫视电影台,vid=nnzb#tid=3#id=16
天映电影台,vid=nnzb#tid=3#id=15
龙祥电影台,vid=nnzb#tid=3#id=14
龙祥时代电影台,vid=nnzb#tid=3#id=13
纬来综合台,vid=nnzb#tid=3#id=12
纬来体育台,vid=nnzb#tid=3#id=11
纬来日本台,vid=nnzb#tid=3#id=10
纬来电影台,vid=nnzb#tid=3#id=9
非凡新闻台,vid=nnzb#tid=3#id=6
卫视中文台,vid=nnzb#tid=3#id=4
# 国外 #
俄罗斯红星台,vid=nnzb#tid=5#id=118
