CCTV-2高清,vid=nxgd#id=137
CCTV-3高清,vid=nxgd#id=129
CCTV-5高清,vid=nxgd#id=130
CCTV-5+高清,vid=nxgd#id=120
CCTV-6高清,vid=nxgd#id=131
CCTV-7高清,vid=nxgd#id=138
CCTV-8高清,vid=nxgd#id=132
CCTV-9高清,vid=nxgd#id=139
CCTV-10高清,vid=nxgd#id=140
CCTV-12高清,vid=nxgd#id=141
CCTV-14高清,vid=nxgd#id=142
江苏卫视高清,vid=nxgd#id=125
浙江卫视高清,vid=nxgd#id=126
广东卫视高清,vid=nxgd#id=127
深圳卫视高清,vid=nxgd#id=128
辽宁卫视高清,vid=nxgd#id=143
天津卫视高清,vid=nxgd#id=133
山东卫视高清,vid=nxgd#id=134
湖北卫视高清,vid=nxgd#id=135
黑龙江卫视高清,vid=nxgd#id=136
四川卫视高清,vid=nxgd#id=198
聚鲨环球精选高清,vid=nxgd#id=205
极速汽车高清,vid=nxgd#id=148
都市剧场高清,vid=nxgd#id=149
欢笑剧场高清,vid=nxgd#id=150
生活时尚高清,vid=nxgd#id=151
全纪实高清,vid=nxgd#id=152
劲爆体育高清,vid=nxgd#id=153
魅力足球高清,vid=nxgd#id=154
幸福彩高清,vid=nxgd#id=155
动漫秀场高清,vid=nxgd#id=156
游戏风云高清,vid=nxgd#id=157
求索纪录高清,vid=nxgd#id=158
CHC高清电影,vid=nxgd#id=121
CHC动作电影高清,vid=nxgd#id=202
CHC家庭影院高清,vid=nxgd#id=201
广电商城,vid=nxgd#id=189
卡酷少儿,vid=nxgd#id=200
嘉佳卡通,vid=nxgd#id=172
游戏竞技,vid=nxgd#id=173
家有购物高清,vid=nxgd#id=174
CCTV-1,vid=nxgd#id=001
CCTV-2,vid=nxgd#id=002
CCTV-3,vid=nxgd#id=003
CCTV-4,vid=nxgd#id=004
CCTV-5,vid=nxgd#id=005
CCTV-6,vid=nxgd#id=006
CCTV-8,vid=nxgd#id=008
CCTV-9,vid=nxgd#id=009
CCTV-10,vid=nxgd#id=010
CCTV-11,vid=nxgd#id=011
CCTV-12,vid=nxgd#id=012
CCTV-13,vid=nxgd#id=013
CCTV-14,vid=nxgd#id=015
CCTV-15,vid=nxgd#id=060
CGTN-新闻,vid=nxgd#id=058
CGTN-阿拉伯语,vid=nxgd#id=059
中国教育1台,vid=nxgd#id=061
湖南卫视,vid=nxgd#id=021
江苏卫视,vid=nxgd#id=027
浙江卫视,vid=nxgd#id=028
东方卫视,vid=nxgd#id=031
山东卫视,vid=nxgd#id=029
北京卫视,vid=nxgd#id=030
天津卫视,vid=nxgd#id=032
重庆卫视,vid=nxgd#id=033
安徽卫视,vid=nxgd#id=034
甘肃卫视,vid=nxgd#id=035
青海卫视,vid=nxgd#id=036
四川卫视,vid=nxgd#id=039
云南卫视,vid=nxgd#id=040
贵州卫视,vid=nxgd#id=041
内蒙古卫视,vid=nxgd#id=042
山西卫视,vid=nxgd#id=044
辽宁卫视,vid=nxgd#id=045
吉林卫视,vid=nxgd#id=046
黑龙江卫视,vid=nxgd#id=047
河南卫视,vid=nxgd#id=048
陕西卫视,vid=nxgd#id=049
湖北卫视,vid=nxgd#id=050
江西卫视,vid=nxgd#id=051
福建东南卫视,vid=nxgd#id=052
广东卫视,vid=nxgd#id=053
广西卫视,vid=nxgd#id=054
深圳卫视,vid=nxgd#id=055
海南卫视,vid=nxgd#id=056
新疆卫视,vid=nxgd#id=062
西藏卫视,vid=nxgd#id=063
宁夏经济,vid=nxgd#id=018
宁夏影视,vid=nxgd#id=019
宁夏少儿,vid=nxgd#id=020
宁夏导视,vid=nxgd#id=022
宁夏教育,vid=nxgd#id=026
宁夏家有购物,vid=nxgd#id=014
聚鲨环球精选,vid=nxgd#id=037
冬奥纪实,vid=nxgd#id=043
金鹰卡通,vid=nxgd#id=038
足球频道,vid=nxgd#id=057
中国气象频道,vid=nxgd#id=064
中学生频道,vid=nxgd#id=065
百姓健康,vid=nxgd#id=066
兵器科技,vid=nxgd#id=067
靓妆,vid=nxgd#id=068
中华特产,vid=nxgd#id=069
四海钓鱼,vid=nxgd#id=070
车迷频道,vid=nxgd#id=071
环球旅游,vid=nxgd#id=074
武术世界,vid=nxgd#id=076
财富天下,vid=nxgd#id=077
发现之旅,vid=nxgd#id=078
英语辅导,vid=nxgd#id=079
天元围棋,vid=nxgd#id=081
摄影频道,vid=nxgd#id=082
怀旧剧场,vid=nxgd#id=083
风云音乐,vid=nxgd#id=084
风云剧场,vid=nxgd#id=085
新科动漫,vid=nxgd#id=087
风云足球,vid=nxgd#id=089
书画频道,vid=nxgd#id=090
世界地理,vid=nxgd#id=092
环球奇观,vid=nxgd#id=093
第一剧场,vid=nxgd#id=094
央视精品,vid=nxgd#id=095
新动漫,vid=nxgd#id=104
澳亚卫视,vid=nxgd#id=106
凤凰中文,vid=nxgd#id=107
星空卫视,vid=nxgd#id=108
CNA,vid=nxgd#id=109
凤凰资讯,vid=nxgd#id=110
star movie,vid=nxgd#id=111
凤凰电影,vid=nxgd#id=112
[V]Channel,vid=nxgd#id=113
国家地理,vid=nxgd#id=114
HBO,vid=nxgd#id=115
AXN,vid=nxgd#id=116
