CCTV-1,vid=tty#id=133
CCTV-2,vid=tty#id=217
CCTV-3,vid=tty#id=134
CCTV-4,vid=tty#id=315
CCTV-5,vid=tty#id=135
CCTV-5Plus,vid=tty#id=138
CCTV-6,vid=tty#id=136
CCTV-7,vid=tty#id=241
CCTV-8,vid=tty#id=137
CCTV-9,vid=tty#id=249
CCTV-10,vid=tty#id=218
CCTV-11,vid=tty#id=324
CCTV-12,vid=tty#id=219
CCTV-13,vid=tty#id=022
CCTV-14,vid=tty#id=248
CCTV-15,vid=tty#id=325
CCTV-15,vid=tty#id=024
CCTV-17,vid=tty#id=241
CETV-1,vid=tty#id=256
CGTN纪录,vid=tty#id=234
CGTN,vid=tty#id=260
CGTN法语,vid=tty#id=230
CGTN阿语,vid=tty#id=231
CGTN葡语,vid=tty#id=233
CGTN西语,vid=tty#id=233
辽宁卫视,vid=tty#id=139
湖南卫视,vid=tty#id=140
东方卫视,vid=tty#id=141
江苏卫视,vid=tty#id=142
浙江卫视,vid=tty#id=143
黑龙江卫视,vid=tty#id=144
广东卫视,vid=tty#id=145
深圳卫视,vid=tty#id=146
北京卫视,vid=tty#id=147
安徽卫视,vid=tty#id=148
天津卫视,vid=tty#id=149
山东卫视,vid=tty#id=221
重庆卫视,vid=tty#id=222
湖北卫视,vid=tty#id=250
贵州卫视,vid=tty#id=251
东南卫视,vid=tty#id=252
河北卫视,vid=tty#id=253
四川卫视,vid=tty#id=254
江西卫视,vid=tty#id=255
河南卫视,vid=tty#id=312
吉林卫视,vid=tty#id=313
广西卫视,vid=tty#id=034
陕西卫视,vid=tty#id=036
内蒙古卫视,vid=tty#id=040
云南卫视,vid=tty#id=052
山西卫视,vid=tty#id=054
江西卫视,vid=tty#id=055
宁夏卫视,vid=tty#id=056
甘肃卫视,vid=tty#id=058
西藏卫视,vid=tty#id=063
兵团卫视,vid=tty#id=189
新疆卫视,vid=tty#id=259
辽宁都市,vid=tty#id=026
辽宁影视剧,vid=tty#id=027
辽宁体育,vid=tty#id=028
辽宁北方,vid=tty#id=030
辽宁公共,vid=tty#id=064
辽宁经济,vid=tty#id=188
辽宁生活,vid=tty#id=190
辽宁教育青少,vid=tty#id=191
辽宁家政,vid=tty#id=215
大连1,vid=tty#id=132
大连2,vid=tty#id=002
大连3,vid=tty#id=003
大连4,vid=tty#id=004
大连5,vid=tty#id=005
大连6,vid=tty#id=006
大连7,vid=tty#id=007
大连8,vid=tty#id=235
大连导视,vid=tty#id=009
北京纪实,vid=tty#id=314
未知1,vid=tty#id=131
东方财经,vid=tty#id=066
梨园频道,vid=tty#id=067
留学世界,vid=tty#id=068
女性时尚,vid=tty#id=069
央视文化精品,vid=tty#id=071
汽摩,vid=tty#id=072
靓妆,vid=tty#id=073
现代女性,vid=tty#id=074
中国气象频道,vid=tty#id=076
教育就业,vid=tty#id=077
休闲,vid=tty#id=078
茶频道,vid=tty#id=079
中学生,vid=tty#id=082
法制天地,vid=tty#id=192
央视台球,vid=tty#id=198
快乐垂钓,vid=tty#id=199
彩民在线,vid=tty#id=200
武术世界,vid=tty#id=202
新科动漫,vid=tty#id=203
文物宝库,vid=tty#id=204
天元围棋,vid=tty#id=205
深圳DV生活,vid=tty#id=206
央视电视指南,vid=tty#id=207
七彩戏剧,vid=tty#id=209
老年福,vid=tty#id=210
金色频道,vid=tty#id=212
美食天府,vid=tty#id=213
老故事,vid=tty#id=262
人物频道,vid=tty#id=264
北京纪实,vid=tty#id=311
卫生健康,vid=tty#id=316
金鹰卡通,vid=tty#id=257
卡酷少儿,vid=tty#id=258
