民视,vid=ublive#id=336
公视,vid=ublive#id=361
华视,vid=ublive#id=327
中视,vid=ublive#id=333
台视,vid=ublive#id=326
三立都会,vid=ublive#id=310
三立台湾,vid=ublive#id=309
纬来日本,vid=ublive#id=337
卫视中文,vid=ublive#id=342
八大综合,vid=ublive#id=90
八大第一,vid=ublive#id=60
中天娱乐,vid=ublive#id=324
八大戏剧,vid=ublive#id=100
东森综合,vid=ublive#id=372
八大娱乐,vid=ublive#id=80
纬来综合,vid=ublive#id=340
纬来育乐,vid=ublive#id=338
靖天综合,vid=ublive#id=62
靖天日本,vid=ublive#id=63
TVBS,vid=ublive#id=88
TVBS精采,vid=ublive#id=66
民视台湾,vid=ublive#id=36
民视台湾,vid=ublive#id=68
民视第一台,vid=ublive#id=34
中视菁采台,vid=ublive#id=55
中视经典台,vid=ublive#id=56
Fashion one,vid=ublive#id=89
第1商业台,vid=ublive#id=54
Outdoor Channel,vid=ublive#id=94
靖天国际台,vid=ublive#id=308
靖天欢乐台,vid=ublive#id=345
靖天资讯台,vid=ublive#id=344
八大综艺,vid=ublive#id=99
大爱一台,vid=ublive#id=11
人间卫视,vid=ublive#id=101
法国时装,vid=ublive#id=113
爱尔达娱乐,vid=ublive#id=61
国兴卫视,vid=ublive#id=105
东森亚洲,vid=ublive#id=73
客家电视,vid=ublive#id=41
达文西频道,vid=ublive#id=46
民视综艺,vid=ublive#id=98
好消息,vid=ublive#id=38
TRACE Sport Stars,vid=ublive#id=51
Stingray iConcerts,vid=ublive#id=312
Travel Channel,vid=ublive#id=74
AXN,vid=ublive#id=103
时尚运动X,vid=ublive#id=35
中天亚洲,vid=ublive#id=322
鸿基电视,vid=ublive#id=315
TVB翡翠,vid=ublive#id=390
TVB明珠,vid=ublive#id=391
无线新闻,vid=ublive#id=394
有线新闻,vid=ublive#id=395
无线财经,vid=ublive#id=393
TVB J2,vid=ublive#id=392
香港开电视,vid=ublive#id=17
NOW新闻,vid=ublive#id=396
NOW直播,vid=ublive#id=400
凤凰卫视,vid=ublive#id=357
凤凰资讯,vid=ublive#id=359
港台电视31,vid=ublive#id=353
港台电视32,vid=ublive#id=397
Channel V,vid=ublive#id=21
HKC娱乐,vid=ublive#id=360
HKS,vid=ublive#id=360
澳视澳门,vid=ublive#id=23
澳视葡语,vid=ublive#id=24
澳门卫星,vid=ublive#id=29
TVB经典,vid=ublive#id=398
寰宇新闻,vid=ublive#id=299
寰宇新闻二台,vid=ublive#id=362
非凡新闻,vid=ublive#id=314
年代新闻,vid=ublive#id=236
壹电视新闻,vid=ublive#id=303
台视财经,vid=ublive#id=69
非凡商业,vid=ublive#id=49
新唐人亚太台,vid=ublive#id=10
美国唐人街台,vid=ublive#id=43
VOA美国之音,vid=ublive#id=305
半岛国际新闻,vid=ublive#id=307
台视新闻,vid=ublive#id=1
TVBS新闻,vid=ublive#id=2
中天新闻,vid=ublive#id=3
三立LIVE新闻,vid=ublive#id=4
华视新闻,vid=ublive#id=6
中视新闻,vid=ublive#id=7
iNEWS,vid=ublive#id=8
民视新闻,vid=ublive#id=13
东森新闻,vid=ublive#id=9
东森财经新闻,vid=ublive#id=12
FOX Family,vid=ublive#id=383
FOX ACTION,vid=ublive#id=385
HBO HD,vid=ublive#id=332
FOX MOVIES,vid=ublive#id=387
HBO Family,vid=ublive#id=331
靖天映画台,vid=ublive#id=349
纬来电影,vid=ublive#id=328
采昌影剧,vid=ublive#id=81
公视戏剧,vid=ublive#id=37
