CCTV-1综合,vid=yfy#id=1#tid=4000
CCTV-2财经,vid=yfy#id=2#tid=2300
CCTV-3综艺,vid=yfy#id=3#tid=2300
CCTV-4中文国际,vid=yfy#id=4#tid=2300
CCTV-5体育,vid=yfy#id=5#tid=2300
CCTV-5+体育赛事,vid=yfy#id=13#tid=2300
CCTV-6电影,vid=yfy#id=6#tid=2300
CCTV-7国防军事,vid=yfy#id=7#tid=2300
CCTV-8电视剧,vid=yfy#id=8#tid=2300
CCTV-9纪录,vid=yfy#id=9#tid=2300
CCTV-10科教,vid=yfy#id=10#tid=2300
CCTV-12社会与法,vid=yfy#id=11#tid=2300
CCTV-14少儿,vid=yfy#id=12#tid=2300
CCTV-13新闻,vid=yfy#id=39#tid=2300
CCTV-14少儿,vid=yfy#id=41#tid=2300
CCTV-15音乐,vid=yfy#id=40#tid=1300
CCTV-17农村农业,vid=yfy#id=90#tid=2300
CCTV-第1剧场,vid=yfy#id=43056#tid=1300
CCTV-世界地理,vid=yfy#id=43057#tid=1300
CCTV-兵器科技,vid=yfy#id=43060#tid=1300
CGTN-新闻,vid=yfy#id=15#tid=2300
CGTN-纪录,vid=yfy#id=14#tid=2300
CGTN-法语,vid=yfy#id=68#tid=1300
广东卫视,vid=yfy#id=16#tid=2300
深圳卫视,vid=yfy#id=17#tid=2300
江苏卫视,vid=yfy#id=18#tid=2300
浙江卫视,vid=yfy#id=19#tid=2300
翰林卫视,vid=yfy#id=20#tid=2300
湖北卫视,vid=yfy#id=21#tid=2300
江西卫视,vid=yfy#id=22#tid=2300
安徽卫视,vid=yfy#id=23#tid=2300
北京卫视,vid=yfy#id=24#tid=2300
湖南卫视,vid=yfy#id=25#tid=2300
东方卫视,vid=yfy#id=26#tid=2300
天津卫视,vid=yfy#id=28#tid=2300
山东卫视,vid=yfy#id=29#tid=2300
贵州卫视,vid=yfy#id=30#tid=1300
四川卫视,vid=yfy#id=31#tid=2300
辽宁卫视,vid=yfy#id=32#tid=2300
山西卫视,vid=yfy#id=54#tid=2300
陕西卫视,vid=yfy#id=55#tid=1300
重庆卫视,vid=yfy#id=56#tid=2300
甘肃卫视,vid=yfy#id=57#tid=1300
南方卫视,vid=yfy#id=58#tid=1300
广西卫视,vid=yfy#id=59#tid=1300
青海卫视,vid=yfy#id=60#tid=2300
云南卫视,vid=yfy#id=61#tid=1300
海南卫视,vid=yfy#id=62#tid=1300
新疆卫视,vid=yfy#id=64#tid=1300
西藏卫视,vid=yfy#id=66#tid=1300
兵团卫视,vid=yfy#id=67#tid=1300
宁夏卫视,vid=yfy#id=69#tid=2300
河南卫视,vid=yfy#id=78#tid=2300
河北卫视,vid=yfy#id=79#tid=2300
东南卫视,vid=yfy#id=80#tid=1300
东南卫视,vid=yfy#id=80#tid=2300
内蒙古卫视,vid=yfy#id=93#tid=2300
黑龙江卫视,vid=yfy#id=27#tid=2300
CETV1中教1台,vid=yfy#id=33#tid=2300
CETV4中教4台,vid=yfy#id=38#tid=1300
优漫卡通,vid=yfy#id=53#tid=1300
金鹰卡通,vid=yfy#id=81#tid=1300
北京冬奥纪实,vid=yfy#id=11001#tid=2300
中国交通-河北,vid=yfy#id=11002#tid=2300
卡酷少儿,vid=yfy#id=11003#tid=2300
车迷频道,vid=yfy#id=11004#tid=2300
环球旅游,vid=yfy#id=11005#tid=2300
中国天气,vid=yfy#id=11006#tid=2300
优优宝贝,vid=yfy#id=11007#tid=2300
聚鲨环球精选,vid=yfy#id=11008#tid=2300
足球频道,vid=yfy#id=15001#tid=2300
家政,vid=yfy#id=62001#tid=2300
金鹰纪实,vid=yfy#id=43025#tid=2300
天元围棋,vid=yfy#id=43033#tid=1300
摄影频道,vid=yfy#id=43034#tid=1300
四海钓鱼,vid=yfy#id=43036#tid=1300
江苏财富天下,vid=yfy#id=43037#tid=1300
劲爆体育,vid=yfy#id=43038#tid=4000
欢笑剧场,vid=yfy#id=43039#tid=2300
全纪实,vid=yfy#id=43040#tid=4000
游戏风云,vid=yfy#id=43041#tid=4000
极速汽车,vid=yfy#id=43042#tid=4000
生活时尚,vid=yfy#id=43043#tid=1300
幸福彩,vid=yfy#id=43044#tid=4000
动漫秀场,vid=yfy#id=43045#tid=2300
法治天地,vid=yfy#id=43046#tid=2300
快乐垂钓,vid=yfy#id=43047#tid=2300
江西陶瓷,vid=yfy#id=43049#tid=2300
东方财经,vid=yfy#id=43050#tid=1300
求索纪录,vid=yfy#id=43051#tid=4000
求索生活,vid=yfy#id=43052#tid=4000
求索动物,vid=yfy#id=43053#tid=4000
求索科学,vid=yfy#id=43054#tid=4000
CBN幸福剧场,vid=yfy#id=43055#tid=2300
国学频道,vid=yfy#id=43058#tid=1300
书画频道,vid=yfy#id=43059#tid=1300
中华美食,vid=yfy#id=43061#tid=1300
先锋乒羽,vid=yfy#id=43062#tid=1300
CHC高清电影,vid=yfy#id=43063#tid=2300
广东珠江,vid=yfy#id=65#tid=1300
广东少儿,vid=yfy#id=63#tid=1300
广东体育,vid=yfy#id=34#tid=2300
广东公共,vid=yfy#id=45#tid=1300
广东高尔夫,vid=yfy#id=43035#tid=1300
蛇口电视台,vid=yfy#id=37#tid=1300
深圳都市,vid=yfy#id=46#tid=1300
深圳电视剧,vid=yfy#id=47#tid=1300
深圳财经生活,vid=yfy#id=48#tid=1300
深圳娱乐,vid=yfy#id=49#tid=1300
深圳体育健康,vid=yfy#id=50#tid=1300
深圳少儿,vid=yfy#id=51#tid=1300
深圳公共,vid=yfy#id=52#tid=1300
深圳宜和购物,vid=yfy#id=42#tid=1300
山西优购物,vid=yfy#id=43#tid=1300
重庆时尚购物,vid=yfy#id=44#tid=1300
阳泉科教,vid=yfy#id=72#tid=1300
山西经济资讯,vid=yfy#id=84#tid=1300
山西影视,vid=yfy#id=85#tid=1300
山西科教,vid=yfy#id=86#tid=1300
山西公共,vid=yfy#id=87#tid=1300
山西黄河频道,vid=yfy#id=88#tid=1300
山西少儿,vid=yfy#id=89#tid=1300
河北三佳购物,vid=yfy#id=12001#tid=2300
河南梨园,vid=yfy#id=13001#tid=2300
河北杂技,vid=yfy#id=13002#tid=2300
河北经济,vid=yfy#id=13003#tid=2300
河北农民,vid=yfy#id=13004#tid=2300
河北都市,vid=yfy#id=13005#tid=2300
河北影视剧,vid=yfy#id=13006#tid=2300
河北少儿科教,vid=yfy#id=13007#tid=2300
河北公共,vid=yfy#id=13008#tid=2300
河北收视指南,vid=yfy#id=13010#tid=2300
石家庄娱乐,vid=yfy#id=13011#tid=2300
石家庄生活,vid=yfy#id=13012#tid=2300
石家庄都市,vid=yfy#id=13013#tid=2300
湖南教育台,vid=yfy#id=43021#tid=1300
湖南教育台,vid=yfy#id=43021#tid=2300
湖南国际,vid=yfy#id=43022#tid=1300
湖南导视,vid=yfy#id=43023#tid=1300
湖南经视,vid=yfy#id=43024#tid=2300
湖南娱乐,vid=yfy#id=43027#tid=2300
湖南都市,vid=yfy#id=43028#tid=2300
湖南电影,vid=yfy#id=43029#tid=2300
湖南电视剧,vid=yfy#id=43030#tid=2300
湖南公共,vid=yfy#id=43031#tid=2300
湖南快乐购,vid=yfy#id=43032#tid=2300
湖南茶频道,vid=yfy#id=43048#tid=2300
娄底综合,vid=yfy#id=43069#tid=1300
长沙新闻,vid=yfy#id=43064#tid=1300
邯郸新闻综合,vid=yfy#id=13009#tid=2300
石家庄新闻综合,vid=yfy#id=13014#tid=2300
阳泉新闻综合,vid=yfy#id=71#tid=1300
株洲新闻综合,vid=yfy#id=43065#tid=1300
衡阳新闻综合,vid=yfy#id=43066#tid=1300
郴州新闻综合,vid=yfy#id=43067#tid=1300
永州新闻综合,vid=yfy#id=43068#tid=1300
邵阳新闻综合,vid=yfy#id=43070#tid=1300
常德新闻综合,vid=yfy#id=43071#tid=1300
张家界新闻综合,vid=yfy#id=43072#tid=1300
湘西新闻综合,vid=yfy#id=43073#tid=1300
怀化新闻综合,vid=yfy#id=43074#tid=1300
岳阳新闻综合,vid=yfy#id=43075#tid=1300
益阳新闻综合,vid=yfy#id=43076#tid=1300
湘潭新闻综合,vid=yfy#id=43077#tid=1300
