CCTV-1,vid=ysp#id=2000210102
CCTV-2,vid=ysp#id=2000203602
CCTV-3,vid=ysp#id=2000203802
CCTV-4,vid=ysp#id=2000204802
CCTV-5,vid=ysp#id=2000205102
CCTV-5+,vid=ysp#id=2000204502
CCTV-6,vid=ysp#id=2000203303
CCTV-7,vid=ysp#id=2000510002
CCTV-8,vid=ysp#id=2000203902
CCTV-9,vid=ysp#id=2000499402
CCTV-10,vid=ysp#id=2000203502
CCTV-11,vid=ysp#id=2000204102
CCTV-12,vid=ysp#id=2000202602
CCTV-13,vid=ysp#id=2000204602
CCTV-14,vid=ysp#id=2000204402
CCTV-15,vid=ysp#id=2000205002
CCTV-17,vid=ysp#id=2000204202
CCTV-4K,vid=ysp#id=2000266303
CGTN-新闻,vid=ysp#id=2001656801
广东卫视,vid=ysp#id=2000292703
浙江卫视,vid=ysp#id=2000295503
重庆卫视,vid=ysp#id=2000297803
四川卫视,vid=ysp#id=2000295003
深圳卫视,vid=ysp#id=2000292203
山东卫视,vid=ysp#id=2000294803
辽宁卫视,vid=ysp#id=2000281303
江西卫视,vid=ysp#id=2000294103
湖南卫视,vid=ysp#id=2000296203
湖北卫视,vid=ysp#id=2000294503
河南卫视,vid=ysp#id=2000296103
河南卫视,vid=ysp#id=2000296103
河北卫视,vid=ysp#id=2000293403
河北卫视,vid=ysp#id=2000293403
海南卫视,vid=ysp#id=2000291503
安徽卫视,vid=ysp#id=2000298003
安徽卫视,vid=ysp#id=2000298003
贵州卫视,vid=ysp#id=2000293303
广西卫视,vid=ysp#id=2000294203
东南卫视,vid=ysp#id=2000292503
东方卫视,vid=ysp#id=2000292403
吉林卫视,vid=ysp#id=2000284703
黑龙江卫视,vid=ysp#id=2000293903
