CCTV-1,vid=ztgd#id=01
CCTV-2,vid=ztgd#id=02
CCTV-3,vid=ztgd#id=22
CCTV-4,vid=ztgd#id=03
CCTV-5,vid=ztgd#id=23
CCTV-6,vid=ztgd#id=24
CCTV-7,vid=ztgd#id=04
CCTV-8,vid=ztgd#id=25
CCTV-10,vid=ztgd#id=05
CCTV-11,vid=ztgd#id=06
CCTV-12,vid=ztgd#id=07
CCTV-15,vid=ztgd#id=08
北京卫视,vid=ztgd#id=09
东方卫视,vid=ztgd#id=10
福建卫视,vid=ztgd#id=11
湖南卫视,vid=ztgd#id=12
江苏卫视,vid=ztgd#id=13
四川卫视,vid=ztgd#id=14
云南卫视,vid=ztgd#id=15
浙江卫视,vid=ztgd#id=16
旅游卫视,vid=ztgd#id=21
昭通一台,vid=ztgd#id=17
昭阳电视,vid=ztgd#id=18
昭通三台,vid=ztgd#id=19
美丽昭通,vid=ztgd#id=20
数字昭通,vid=ztgd#id=26
